 ID │ State    │ Lvl │ Version               │ Name                                                                                                                                                                                                                                                                                           [165/197]
178 │ Active   │  80 │ 2.27.0                │ jersey-container-servlet
179 │ Active   │  80 │ 2.27.0                │ jersey-container-servlet-core
180 │ Active   │  80 │ 2.27.0                │ jersey-core-client
181 │ Active   │  80 │ 2.27.0                │ jersey-core-common
182 │ Active   │  80 │ 2.27.0                │ jersey-core-server
183 │ Active   │  80 │ 2.27.0                │ jersey-inject-hk2
184 │ Active   │  80 │ 2.27.0                │ jersey-media-multipart
185 │ Active   │  80 │ 1.9.6                 │ MIME streaming extension
186 │ Active   │  80 │ 2.7.0                 │ onlab-misc
187 │ Active   │  80 │ 2.7.0                 │ onlab-osgi
188 │ Active   │  80 │ 2.7.0                 │ onlab-rest
189 │ Active   │  80 │ 2.7.0                 │ onos-api
190 │ Active   │  80 │ 2.7.0                 │ onos-cli
191 │ Active   │  80 │ 2.7.0                 │ onos-core-common
192 │ Waiting  │  80 │ 2.7.0                 │ onos-core-dist
193 │ Waiting  │  80 │ 2.7.0                 │ onos-core-net
194 │ Active   │  80 │ 2.7.0                 │ onos-core-persistence
195 │ Waiting  │  80 │ 2.7.0                 │ onos-core-primitives
196 │ Active   │  80 │ 2.7.0                 │ onos-core-serializers
197 │ Active   │  80 │ 2.7.0                 │ onos-rest
198 │ Waiting  │  80 │ 2.7.0                 │ _onos-gui2-base-jar
199 │ Active   │  80 │ 2.7.0                 │ onos-drivers-default
200 │ Active   │  80 │ 2.7.0                 │ onos-protocols-openflow-api
201 │ Active   │  80 │ 3.2.1.onos            │ OpenFlowJ-Loxi
276 │ Active   │  80 │ 2.1.3                 │ Jackson-core
277 │ Active   │  80 │ 2.3                   │ Gson
278 │ Active   │  80 │ 18.0.0                │ Guava: Google Core Libraries for Java
279 │ Active   │  80 │ 19.0.0                │ Guava: Google Core Libraries for Java
280 │ Active   │  80 │ 3.0.0.alpha-5         │ Protocol Buffer JavaNano API
281 │ Active   │  80 │ 3.0.0.beta-2          │ Protocol Buffer Java API
282 │ Active   │  80 │ 3.0.0.beta-2          │ Protocol Buffer Java API
283 │ Active   │  80 │ 0.0.1                 │ com.stackleader.training.grpc.helloworld.api
284 │ Waiting  │  80 │ 0.0.1                 │ com.stackleader.training.grpc.helloworld.client
285 │ Active   │  80 │ 0.0.1                 │ com.stackleader.training.grpc.helloworld.server
286 │ Active   │  80 │ 4.1.0.CR7             │ Netty/Buffer
287 │ Active   │  80 │ 4.1.0.CR7             │ Netty/Codec
